entry_time,entry_price,atr_pct,z_score,vol_label,sl_mult,tp_mult,adaptive_sl_pct,adaptive_tp_pct,fixed_exit,fixed_return,fixed_hours,adaptive_exit,adaptive_return,adaptive_hours,return_diff
2026-02-24 19:00:00+00:00,64435.03,0.00829,-0.415,NORMAL,1.5,2.0,0.0124,0.0166,TP,0.02,6,TP,0.01658,6,-0.00342
2026-02-25 03:00:00+00:00,65391.73,0.01019,-0.07,NORMAL,1.5,2.0,0.0153,0.0204,TP,0.02,11,TP,0.02037,11,0.00037
2026-02-25 05:00:00+00:00,64882.76,0.0097,-0.175,NORMAL,1.5,2.0,0.0145,0.0194,TP,0.02,7,TP,0.0194,7,-0.0006
2026-02-25 06:00:00+00:00,64898.22,0.00917,-0.291,NORMAL,1.5,2.0,0.0138,0.0183,TP,0.02,6,TP,0.01834,6,-0.00166
2026-02-25 07:00:00+00:00,65028.3,0.00908,-0.31,NORMAL,1.5,2.0,0.0136,0.0182,TP,0.02,6,TP,0.01816,5,-0.00184
2026-02-25 08:00:00+00:00,65530.49,0.00901,-0.325,NORMAL,1.5,2.0,0.0135,0.018,TP,0.02,6,TP,0.01802,6,-0.00198
2026-02-25 09:00:00+00:00,65558.71,0.00879,-0.372,NORMAL,1.5,2.0,0.0132,0.0176,TP,0.02,5,TP,0.01759,5,-0.00241
2026-02-25 10:00:00+00:00,65400.87,0.00885,-0.36,NORMAL,1.5,2.0,0.0133,0.0177,TP,0.02,4,TP,0.0177,3,-0.0023
2026-02-26 05:00:00+00:00,68443.81,0.01162,0.203,NORMAL,1.5,2.0,0.0174,0.0232,SL,-0.015,9,SL,-0.01742,10,-0.00242
2026-02-28 18:00:00+00:00,65911.84,0.01301,0.495,NORMAL,1.5,2.0,0.0195,0.026,TP,0.02,4,TP,0.02602,4,0.00602
2026-02-28 19:00:00+00:00,66362.01,0.01382,0.675,ABOVE_NORMAL,1.6,2.4,0.0221,0.0332,TP,0.02,3,TRAIL,0.01086,4,-0.00914
2026-02-28 20:00:00+00:00,66959.62,0.01199,0.267,NORMAL,1.5,2.0,0.018,0.024,TRAIL,0.00183,3,TRAIL,0.00183,3,0.0
2026-02-28 21:00:00+00:00,66723.22,0.01139,0.133,NORMAL,1.5,2.0,0.0171,0.0228,TRAIL,0.00538,2,TRAIL,0.00538,2,0.0
2026-02-28 22:00:00+00:00,67103.64,0.01205,0.282,NORMAL,1.5,2.0,0.0181,0.0241,SL,-0.015,3,TRAIL,0.00617,5,0.02117
2026-02-28 23:00:00+00:00,66973.26,0.01191,0.249,NORMAL,1.5,2.0,0.0179,0.0238,TRAIL,0.00813,4,TRAIL,0.00813,4,0.0
2026-03-01 00:00:00+00:00,66791.29,0.01184,0.203,NORMAL,1.5,2.0,0.0178,0.0237,TP,0.02,2,TRAIL,0.01088,3,-0.00912
2026-03-01 01:00:00+00:00,67339.36,0.01295,0.454,NORMAL,1.5,2.0,0.0194,0.0259,TRAIL,0.00265,2,TRAIL,0.00265,2,0.0
2026-03-01 02:00:00+00:00,67620.65,0.01354,0.586,ABOVE_NORMAL,1.6,2.4,0.0217,0.0325,SL,-0.015,6,SL,-0.02166,11,-0.00666
2026-03-01 03:00:00+00:00,67502.16,0.01259,0.374,NORMAL,1.5,2.0,0.0189,0.0252,SL,-0.015,5,SL,-0.01889,7,-0.00389
2026-03-01 04:00:00+00:00,67346.5,0.01204,0.249,NORMAL,1.5,2.0,0.0181,0.0241,SL,-0.015,5,SL,-0.01806,12,-0.00306
2026-03-01 05:00:00+00:00,67292.09,0.01158,0.145,NORMAL,1.5,2.0,0.0174,0.0232,SL,-0.015,4,SL,-0.01737,11,-0.00237
2026-03-01 08:00:00+00:00,66560.14,0.01141,0.108,NORMAL,1.5,2.0,0.0171,0.0228,SL,-0.015,12,SL,-0.01712,12,-0.00212
2026-03-02 14:00:00+00:00,67177.06,0.01038,-0.134,NORMAL,1.5,2.0,0.0156,0.0208,TP,0.02,1,TP,0.02076,1,0.00076
2026-03-02 18:00:00+00:00,68877.67,0.01263,0.371,NORMAL,1.5,2.0,0.0189,0.0253,SL,-0.015,12,SL,-0.01894,14,-0.00394
2026-03-03 03:00:00+00:00,68377.94,0.01257,0.34,NORMAL,1.5,2.0,0.0189,0.0251,SL,-0.015,5,SL,-0.01886,5,-0.00386
2026-03-03 04:00:00+00:00,68123.2,0.01099,-0.016,NORMAL,1.5,2.0,0.0165,0.022,SL,-0.015,4,SL,-0.01648,4,-0.00148
2026-03-04 05:00:00+00:00,68206.59,0.01048,-0.103,NORMAL,1.5,2.0,0.0157,0.021,TP,0.02,2,TP,0.02097,2,0.00097
2026-03-04 06:00:00+00:00,68508.02,0.0095,-0.328,NORMAL,1.5,2.0,0.0143,0.019,TP,0.02,2,TP,0.01901,2,-0.00099
2026-03-04 23:00:00+00:00,72666.77,0.01119,0.059,NORMAL,1.5,2.0,0.0168,0.0224,SL,-0.015,16,SL,-0.01679,16,-0.00179
2026-03-05 00:00:00+00:00,72760.0,0.01095,0.015,NORMAL,1.5,2.0,0.0164,0.0219,SL,-0.015,15,SL,-0.01643,15,-0.00143
2026-03-05 01:00:00+00:00,72538.72,0.01131,0.096,NORMAL,1.5,2.0,0.017,0.0226,TRAIL,0.00391,13,TRAIL,0.00391,13,0.0
2026-03-05 02:00:00+00:00,72506.19,0.01112,0.053,NORMAL,1.5,2.0,0.0167,0.0222,TRAIL,0.00436,12,TRAIL,0.00436,12,0.0
2026-03-05 03:00:00+00:00,72497.89,0.01112,0.052,NORMAL,1.5,2.0,0.0167,0.0222,TRAIL,0.00448,11,TRAIL,0.00448,11,0.0
2026-03-05 04:00:00+00:00,72815.7,0.01038,-0.116,NORMAL,1.5,2.0,0.0156,0.0208,SL,-0.015,11,SL,-0.01557,11,-0.00057
2026-03-05 10:00:00+00:00,73388.92,0.00903,-0.426,NORMAL,1.5,2.0,0.0135,0.0181,SL,-0.015,3,SL,-0.01354,3,0.00146
2026-03-05 12:00:00+00:00,72890.73,0.00884,-0.468,NORMAL,1.5,2.0,0.0133,0.0177,SL,-0.015,3,SL,-0.01327,3,0.00173
2026-03-08 10:00:00+00:00,67904.14,0.00552,-1.119,CALM,1.3,1.8,0.008,0.012,SL,-0.015,3,SL,-0.008,2,0.007
2026-03-08 19:00:00+00:00,67337.42,0.00673,-0.837,CALM,1.3,1.8,0.0087,0.0121,SL,-0.015,3,SL,-0.00875,2,0.00625
2026-03-09 05:00:00+00:00,67911.16,0.01047,0.261,NORMAL,1.5,2.0,0.0157,0.0209,SL,-0.015,2,TP,0.02093,9,0.03593
2026-03-09 06:00:00+00:00,67267.18,0.01082,0.385,NORMAL,1.5,2.0,0.0162,0.0216,TRAIL,0.00756,4,TRAIL,0.00756,4,0.0
2026-03-09 07:00:00+00:00,67555.13,0.01113,0.497,NORMAL,1.5,2.0,0.0167,0.0223,TRAIL,0.00326,3,TRAIL,0.00326,3,0.0
2026-03-09 08:00:00+00:00,67814.69,0.01131,0.559,ABOVE_NORMAL,1.6,2.4,0.0181,0.0271,TP,0.02,5,TRAIL,0.01431,9,-0.00569
2026-03-09 09:00:00+00:00,67981.02,0.01148,0.619,ABOVE_NORMAL,1.6,2.4,0.0184,0.0276,TP,0.02,5,TRAIL,0.01183,8,-0.00817
2026-03-09 11:00:00+00:00,67764.98,0.01142,0.598,ABOVE_NORMAL,1.6,2.4,0.0183,0.0274,TP,0.02,2,TRAIL,0.01506,6,-0.00494
