g1_taker.taker_z_4h_min,g2_oi_bipolar.oi_z_1h_min,g2_oi_bipolar.oi_z_24h_block,filters.rsi_min,filters.rsi_max,n_trades,sharpe,win_rate,avg_return,total_return,max_dd,profit_factor
-0.5,-0.5,2.0,50,80,66,1.2852621232915395,50.0,0.16782349796167795,11.379311629539156,-3.5123527874826874,1.6109746608219428
0.3,-0.5,2.0,55,80,40,1.2773217090190898,47.5,0.16799055925229037,6.7540849059730235,-3.138358694323312,1.6061841593769441
-0.5,-0.5,2.0,50,85,67,1.2674236507929615,49.25373134328358,0.1633832279438047,11.238809849170384,-3.5123527874826874,1.6148785374578178
0.3,-0.5,3.0,55,80,48,1.192330622134656,47.91666666666667,0.14686874488493726,7.09741036497924,-3.1383586943233115,1.5567650850259456
0.3,-0.5,2.0,50,80,46,1.1689710402457765,50.0,0.1481035282558199,6.841282444737762,-4.683573888096314,1.5377546333057581
0.3,-0.5,2.0,60,80,34,1.0922841037650763,44.11764705882353,0.14395618600238178,4.852944009213567,-4.1417146454116285,1.5134403631441034
0.3,-0.5,2.5,55,80,45,1.0672435038343449,46.666666666666664,0.13482882629579537,6.054350988886603,-3.138358694323312,1.4858948966309087
0.0,-0.5,2.0,50,80,57,1.0578005861300885,49.122807017543856,0.13558054404787906,7.768509302390791,-4.437405010376363,1.482362555869528
0.3,-0.5,2.0,50,85,47,1.020349594834322,46.808510638297875,0.12790142346686698,5.989717771297509,-4.683573888096314,1.4643250144917443
0.0,-0.5,2.0,50,85,58,0.9400285284508978,46.55172413793103,0.1194257864466231,6.9095542867703585,-4.437405010376363,1.4249795531612133
-0.5,-0.5,3.0,50,80,79,0.9372634864920191,48.10126582278481,0.11660634189296923,9.298478557221145,-4.95662749740723,1.409859550543177
0.3,-0.5,3.0,50,80,56,0.9324063451688007,50.0,0.1121186063772628,6.25403664711055,-5.332236307736746,1.4002872658460104
-0.5,-0.5,3.0,50,85,80,0.922980100794058,47.5,0.11352783020385925,9.160601687592207,-4.95662749740723,1.4100373386471308
0.3,-0.5,2.0,55,85,42,0.9109757043038651,42.857142857142854,0.11879927987891643,4.919737376584843,-3.6602322897830435,1.4059421179759917
-0.5,-0.5,2.5,50,80,75,0.8796038286821835,46.666666666666664,0.11089713471780736,8.334487465121487,-4.95662749740723,1.3843928553745373
0.3,-0.5,3.0,55,85,50,0.8690390712968281,44.0,0.10639294278599729,5.25716349967289,-3.660232289783036,1.3835885111237414
-0.5,-0.5,2.5,50,85,76,0.8647144928455212,46.05263157894737,0.10773171724473317,8.197826642375183,-4.95662749740723,1.3841880793568748
-0.5,-0.5,2.0,55,80,56,0.8633568737122526,46.42857142857143,0.10671433034677986,5.920931695224652,-2.888199068045073,1.3842493818435337
0.0,0.3,2.0,50,85,38,0.856436139903741,44.73684210526316,0.10889949060928482,4.057773216867799,-3.8917749614902464,1.376220810159708
