feature,horizon,n,corr,p_value,significant
oi_z_prev,1h,4281,0.05698425670222034,0.0001911870889667294,True
oi_z_prev,4h,4278,0.010940531213037317,0.47436605689385497,False
oi_z_prev,24h,4258,-0.15499199730214902,2.6359871269863344e-24,True
funding_z_prev,1h,4281,0.010064858331436192,0.5103058592829285,False
funding_z_prev,4h,4278,-0.039726387529550294,0.009359733258944701,True
funding_z_prev,24h,4258,-0.03168473169975324,0.038692055610360196,True
taker_ratio_prev,1h,4317,0.15296436800037508,5.1449416933693386e-24,True
taker_ratio_prev,4h,4314,0.1424365091212651,5.423498131211028e-21,True
taker_ratio_prev,24h,4294,0.06180890654955456,5.057615254609441e-05,True
taker_z_prev,1h,4281,0.15395996473228757,4.0244570335739855e-24,True
taker_z_prev,4h,4278,0.13703142721685238,2.2040884703828595e-19,True
taker_z_prev,24h,4258,0.03452609591808392,0.02426206936591258,True
