config,entry_ts,exit_ts,entry_price,exit_price,exit_reason,return_pct,hold_hours,close_ma21_ratio,volume_z
v1,2025-11-05 16:00:00+00:00,2025-11-05 21:00:00+00:00,161.83,161.50859999999997,TRAIL,-0.19860347278010237,5.0,1.0339473964434034,0.06979413559119678
v1,2025-11-07 17:00:00+00:00,2025-11-07 19:00:00+00:00,161.16,164.3832,TP,1.999999999999995,2.0,1.0325726141078837,1.0060010366075178
v1,2025-11-09 14:00:00+00:00,2025-11-09 15:00:00+00:00,160.15,163.353,TP,2.0000000000000018,1.0,1.012551709188128,1.759088496209705
v1,2025-11-09 20:00:00+00:00,2025-11-10 00:00:00+00:00,165.33,165.825,TRAIL,0.29940119760477596,4.0,1.034208198171631,-0.12025558617225197
v1,2025-11-10 10:00:00+00:00,2025-11-10 13:00:00+00:00,168.35,168.0228,TRAIL,-0.19435699435699721,3.0,1.0150680329728068,-0.25327220686016916
v1,2025-11-15 13:00:00+00:00,2025-11-15 16:00:00+00:00,141.66,141.33239999999998,TRAIL,-0.23125794155020338,3.0,1.0014576523381349,-0.35385100961823296
v1,2025-11-20 02:00:00+00:00,2025-11-20 04:00:00+00:00,143.67,143.2134,TRAIL,-0.31781165170180303,2.0,1.0489194676605151,4.361731862660278
v1,2025-11-22 22:00:00+00:00,2025-11-23 01:00:00+00:00,128.25,128.1654,TRAIL,-0.0659649122806976,3.0,1.0098349468695398,-0.6404309922770328
v1,2025-11-23 09:00:00+00:00,2025-11-23 14:00:00+00:00,130.09,132.6918,TP,1.999999999999998,5.0,1.0131845390418124,-0.6520710093134917
v1,2025-11-24 02:00:00+00:00,2025-11-24 04:00:00+00:00,133.39,132.0957,TRAIL,-0.9703126171377111,2.0,1.0163121365052987,0.044613845080074904
v1,2025-11-24 17:00:00+00:00,2025-11-24 20:00:00+00:00,136.91,137.60999999999999,TRAIL,0.5112847856255852,3.0,1.0408466918632435,1.1460202177579517
v1,2025-11-25 23:00:00+00:00,2025-11-26 01:00:00+00:00,138.96,138.6198,TRAIL,-0.24481865284974816,2.0,1.0152523031534415,-0.007614921823363086
v1,2025-11-26 05:00:00+00:00,2025-11-26 08:00:00+00:00,139.02,138.4911,TRAIL,-0.38044885627968744,3.0,1.012643211687947,-0.7879044505732419
